"cctv_id","description","location","floor","room","x_coordinate","y_coordinate","z_coordinate","orientation","modifieddatetime","x_px_coordinate","y_px_coordinate"
TSC CAM1344,,TSC,TSC_B4,,-5300582626,2407281030,,,2024-11-20 13:16:41.066,2469,2361
TSC CAM1346,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,3899,1931
TSC CAM1348,,TSC,TSC_B4,,-5300591304,2407267786,,,2024-11-20 13:16:41.066,3917,2517
TSC CAM1349,,TSC,TSC_B4,,-5300588159,2407262139,,,2024-11-20 13:16:41.066,3325,2031
TSC CAM1351,,TSC,TSC_B4,,-5300582084,2407259398,,,2024-11-20 13:16:41.066,3297,2407
TSC CAM1352,,TSC,TSC_B4,,-5300358455,2407277471,,,2024-11-20 13:16:41.066,3439,2031
TSC CAM1355,,TSC,TSC_B4,,-5300470496,2407253658,,,2024-11-20 13:16:41.066,3357,2355
TSC CAM1356,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,3431,2285
TSC CAM1359,,TSC,TSC_B4,,-5300420615,2407240219,,,2024-11-20 13:16:41.066,3637,2407
TSC CAM1361,,TSC,TSC_B4,,-5300372274,2407307987,,,2024-11-20 13:16:41.066,3763,2089
TSC CAM1362,,TSC,TSC_B4,,-5300365395,2407301946,,,2024-11-20 13:16:41.066,3889,2409
TSC CAM1365,,TSC,TSC_B4,,-5300368725,2407310285,,,2024-11-20 13:16:41.066,8379,2221
TSC CAM1366,,TSC,TSC_B4,,-5300370105,2407302137,,,2024-11-20 13:16:41.066,4923,2517
TSC CAM1367,,TSC,TSC_B4,,-5300366006,2407298065,,,2024-11-20 13:16:41.066,4087,2409
TSC CAM1369,,TSC,TSC_B4,,-5300369290,2407289838,,,2024-11-20 13:16:41.066,4295,2409
TSC CAM1370,,TSC,TSC_B4,,-5300367658,2407289770,,,2024-11-20 13:16:41.066,3609,2087
TSC CAM1374,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,4507,2031
TSC CAM1376,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,4507,2409
TSC CAM1377,,TSC,TSC_B4,,-5300357146,2407279439,,,2024-11-20 13:16:41.066,4711,2031
TSC CAM1379,,TSC,TSC_B4,,-5300364769,2407243347,,,2024-11-20 13:16:41.066,4905,2351
TSC CAM1380,,TSC,TSC_B4,,-5300389810,2407236506,,,2024-11-20 13:16:41.066,4711,2409
TSC CAM1382,,TSC,TSC_B4,,-5300397144,2407231599,,,2024-11-20 13:16:41.066,4939,2085
TSC CAM1383,,TSC,TSC_B4,,-5300388928,2407226295,,,2024-11-20 13:16:41.066,4507,2351
TSC CAM1384,,TSC,TSC_B4,,-5300388619,2407230851,,,2024-11-20 13:16:41.066,5129,2409
TSC CAM1387,,TSC,TSC_B4,,-5300369606,2407283968,,,2024-11-20 13:16:41.066,4937,2351
TSC CAM1388,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,5335,2409
TSC CAM1389,,TSC,TSC_B4,,-5300391983,2407225645,,,2024-11-20 13:16:41.066,5541,2089
TSC CAM1390,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,5753,1931
TSC CAM1391,,TSC,TSC_B4,,-5300396991,2407217835,,,2024-11-20 13:16:41.066,5545,2031
TSC CAM1393,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,5751,2517
TSC CAM1395,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,6361,2089
TSC CAM1396,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,5751,2409
TSC CAM1397,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,6167,2031
TSC CAM1401,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,6379,2031
TSC CAM1402,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,6361,2351
TSC CAM1403,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,6375,2409
TSC CAM1405,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,6393,2089
TSC CAM1406,,TSC,TSC_B4,,-5300586029,2407347435,,,2024-11-20 13:16:41.066,6393,2351
TSC CAM1407,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,6583,2409
TSC CAM1410,,TSC,TSC_B4,,-5300590196,2407395181,,,2024-11-20 13:16:41.066,6267,2517
TSC CAM1413,,TSC,TSC_B4,,-5300601050,2407385076,,,2024-11-20 13:16:41.066,7713,2089
TSC CAM1415,,TSC,TSC_B4,,-5300592555,2407362592,,,2024-11-20 13:16:41.066,6789,2409
TSC CAM1417,,TSC,TSC_B4,,-5300587909,2407365493,,,2024-11-20 13:16:41.066,7205,2031
TSC CAM1419,,TSC,TSC_B4,,-5300592585,2407349097,,,2024-11-20 13:16:41.066,7271,1931
TSC CAM1421,,TSC,TSC_B4,,-5300598403,2407345905,,,2024-11-20 13:16:41.066,7271,2517
TSC CAM1423,,TSC,TSC_B4,,-5300599700,2407346236,,,2024-11-20 13:16:41.066,7671,2031
TSC CAM1424,,TSC,TSC_B4,,-5300585133,2407343728,,,2024-11-20 13:16:41.066,7535,2351
TSC CAM1425,,TSC,TSC_B4,,-5300598400,2407339905,,,2024-11-20 13:16:41.066,7677,2409
TSC CAM1427,,TSC,TSC_B4,,-5300595160,2407339905,,,2024-11-20 13:16:41.066,7761,2159
TSC CAM1429,,TSC,TSC_B4,,-5300593416,2407339905,,,2024-11-20 13:16:41.066,7867,2159
TSC CAM1430,,TSC,TSC_B4,,-5300587159,2407339932,,,2024-11-20 13:16:41.066,7939,2095
TSC CAM1431,,TSC,TSC_B4,,-5300464846,2407258342,,,2024-11-20 13:16:41.066,7851,2409
TSC CAM1433,,TSC,TSC_B4,,-5300587540,2407334109,,,2024-11-20 13:16:41.066,8223,2031
TSC CAM1434,,TSC,TSC_B4,,-5300586221,2407329741,,,2024-11-20 13:16:41.066,8113,2351
TSC CAM1437,,TSC,TSC_B4,,-5300591583,2407323333,,,2024-11-20 13:16:41.066,8813,1931
